AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,Count,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, MARY EVELINA MOORE",,MARY EVELINA MOORE DAVIS,,1844-1909,,,,,,,":</strong></p>
<p>Writer; editor, socialite. Born:April 12, 1844 in White Plains, Benton County (became Calhoun County, 1858).  Parents:John and Marian Lucinda (Crutchfield) Moore. Married:Thomas Edward Davis, October 20, 1874.  Educated at home by her mother and intermittently at local schools in Alabama and Texas, where her family moved in 1855. Continued her education as an adult by studying music, French, and other subjects with tutors. Employed as ""second assistant"" teacher at Professor Hand's Charnwood School in Tyler, Texas, 1860-61.  Began publishing poems on patriotic and other themes in Texas newspapers in the 1860's; published her first volume of poetry in 1867. Wrote fiction and poetry throughout her life; employed as an editor on the New Orleans Picayune.  Moved to New Orleans in 1879 with her husband, editor of the New Orleans Times and later editor-in-chief of the New Orleans Picayune; maintained a literary salon at her home on Royal Street. Died January 1, 1909.</p>
<p>","; </strong></p>
<p>Dictionary of American Biography; American Authors and Books; Who Was Who in Alabama.</p>
<p>","s;</strong></p>
<p>Minding the Gap, and Other Poems.  Houston:  Cushing and Co., 1867.</p><p>Poems.  Houston:  E. H. Cushing, 1872.</p><p>In War Times at La Rose Blanche.  Boston:  D. Lathrop Co., 1888.</p><p>Antiques: A Rare Collection from Old Creole Families.  New Orleans:  A. H. Thiberge Printing Co., 1894.</p>
<p>A Christmas Masque of Saint Roch.  Chicago: McClurg, 1896.</p>
<p>An Elephant's Track, and Other Stories.  New York:  Harper, 1897.</p><p>The Wire Cutters.  Boston: Houghton, 1899.</p><p>The Queen's Garden.  Boston: Houghton, 1900.</p>
<p>Jaconetta: Her Loves.  Boston:  Houghton, 1901.</p><p>A Bunch of Roses.  Boston: Small, Maynard, and Co., 1903.</p>
<p>The Little Chevalier.  Boston:  Houghton, 1903.</p><p>The Price of Silence. Boston:  Houghton, 1907.</p>
<p>The Moons of Balbanca.. Boston: Houghton, 1908.</p>
<p>Selected Poems. New  Orleans:  Green Shutter Book Shop, 1927.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, NORAH KNOWLES",,NORAH KNOWLES DAVIS,,1862-1936,,,,,,,":</strong></p>
<p>Teacher, writer, clerical worker. Born:October 20, 1862, Huntsville. Parents:Zebulon Pike (an early mayor of Huntsville) and Williametta (Eason) Davis. Education:Private tutors. Taught in public schools in Alabama, Florida, Mississippi, Tennessee, and Arkansas, 1893-1900; worked as a stenographer and newspaper writer; held various government positions, including deputy clerk for U.S. District Court, Northern District of Alabama, 1901-05. Died June 10, 1936.</p>
<p>",":</strong></p>
<p>History of Alabama and Dictionary of Alabama Biography, vol. 3.</p>
<p>Who Was Who in America, Vol. 6.</p>
<p>","(s):</strong></p>
<p>The Northerner. New York; The Century Company, 1905.</p><p>The World's Warrant. Boston; Houghton, 1907.</p>
<p>Wallace Rhodes. New York; Harper and Brothers, 1909.</p><p>The Other Woman. New York; Century, 1920.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, NORMAN DUANE",,NORMAN DUANE DAVIS,,1928-2011,,,,,,,":</strong></p>
<p>Microbiologist; university professor. Born:May 7, 1928, San Diego, Calif. Parents:Richard Earl and Cora Elsie Bolin Davis.  Married:Juanita Loudermilk.  Children: two. Education:University of Georgia, B.S., 1953; Ohio State University, M.S., 1955; Ph.D. 1957. Taught at the University of Georgia, 1957-1958; Auburn University, 1958-1990. Member of several professional organizations including the  American Association for the Advancement of Science, American Society for Microbiology, Society for Industrial Microbiology, American Chemical Society, and the American Peanut Research and Education Society. Professor emeritus, Auburn, 1990. Fellow of the American Academy for Microbiology.  Received the Golden Peanut Research Award.  Died July 3, 2011.</p>
<p>",":</strong></p>
<p>American Men and Women of Science, 14th edition.</p>
<p>Obituary.</p>
<p>","(s):</strong></p>
<p>Guide and Key to Alabama Trees. Dubuque, Iowa; W. C. Brown, 1965.  [editions 2-5 published by Kendall/Hunt, 1972-1999].</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, POSEY OLIVER",,POSEY OLIVER DAVIS,,1890-1973,,,,,,,":</strong></p>
<p>Agricultural Extension Service official; college administrator; radio pioneer.  Born:August 15, 1890, Athens. Parents:Richard Scoggins and Elizabeth (Barker) Davis. Married:Mildred Kilburn, June 19, 1918. Education:Attended Potter College, Bowling Green, Ky.; Alabama Polytechnic Institute, B.S., 1916; graduate study at API. Employed by Agricultural Extension Service to work with 4-H Clubs, beginning in 1918;  director of the Alabama State Agricultural Extension Service, 1937-1959. Founded  radio station WAPI at Auburn, which later became associated with the National Broadcasting Company, the first radio network in the state. . Executive secretary of Alabama Polytechnic Institute, 1932-37 (during this period the school was run by an administrative committee made up of three members, the ""executive secretary"" being one member). Member of Phi Kappa Phi, Masons, Shriners, and Kiwanis.  Named Man of the Year in Alabama Agriculture, 1939, by the <em>Progressive Farmer</em> magazine; awarded a Citation for Distinguished Service to American Agriculture by the American Farm Bureau in 1946. Died January 17, 1973.</p>
<p>",":</strong></p>
<p>Library of Alabama Lives, 1961.</p>
<p>","(s):</strong></p>
<p>Extension Work:  Its Origin, Nature, Value, and Opportunity.  API, 1949.</p><p>A Century of Science on Alabama Farms. Auburn, Ala.; Alabama Polytechnic Institute, 1952.</p><p>One Man; Edward Asbury O'Neal III, of Alabama. Auburn, Ala.; Alabama Polytechnic Institute, 1951.</p>
<p>My Davis Ancestors and Relatives.  N.P., n.d.</p>

				</div>",,"<p><strong>Papers; </strong></p>
<p>The papers of Posey Oliver Davis are held by the Ralph Brown Draughon Library at Auburn University.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, WILLIAM COLUMBUS",,WILLIAM COLUMBUS DAVIS,,1910-2003,,,,,,,":</strong></p>
<p>Historian; university professor. Born:August 28, 1910, Birmingham. Parents:William Columbus and Maude (Gray) Davis. Married: (1) Mildred Dorman, July 24, 1948 (died 1986); married (2) Dorothy Ann Fleetwood, 1987.  Education:University of Alabama, A.B., 1931; M.A., 1932; Harvard, M.A., 1943; Ph.D. 1948. Held several staff positions at the U.S.Senate, 1933-46; taught Latin American Studies at the University of Georgia, 1948-1951; George Washington University, 1951-1966; National War College, 1963-1974. Member Phi Beta Kappa and Pi Kappa Phi. Died December 24, 2003.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, 7th ed.</p>
<p>Who's Who in America online</p>
<p>","(s):</strong></p>
<p>The Last Conquistadores; the Spanish Intervention in Peru and Chile, 1863-1866. Athens, Ga.; University of Georgia Press, 1950.</p><p>The Columns of Athens, Georgia's Classic City. Athens, Ga.; University of Georgia Press, 1951.</p>
<p>Warnings from the Far South: Democracy versus Dictatorship in Uruguay, Argentina, and Chile. 1995.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Soviet Bloc Latin American Activities and Their Implications for United States Foreign Policy. Washington, D.C.; Government Printing Office, 1960.</p>

				</div>",,"<p><strong>Editor;</strong></p>
<p>American Historical Association Guide to Historical Literature.  1960.</p>
<p>Index to Writings in American History, 1902-1940.  1956</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, WILLIAM HATCHER",,WILLIAM HATCHER DAVIS,,1939-2017,,,,,,,":</strong></p>
<p>University professor of philosophy. Born:January 5, 1939, Frankewing, Tenn. Parents:George B. and Lois Sawyers Davis. Married: Jill Hunt. Children: four. Education:Abilene Christian College, B.A., 1960; M.A., 1961; Rice University, Ph.D., 1965. Taught at the University of Houston, 1964-1966; Auburn University, 1966-2013. Member of the American, Southwestern, and Alabama Philosophical Associations, the C.S. Peirce Society, the Southern Society for Philosophy and Psychology. Named to the Auburn Academy of Teaching and Outstanding Teachers, 2004.  Awarded the status of  professor emeritus upon his retirement at Auburn in 2013. Died May 13, 2017.</p>
<p>",":</strong></p>
<p>Contemporary Authors online; obituary</p>
<p>","(s):</strong></p>
<p>Science and Christian Faith. Abilene, Kan.; Biblical Research Society, 1968.</p><p>Philosophy of Religion. Abilene, Kan.; Biblical Research Society, 1969.</p><p>The Freewill Question. The Hague, Netherlands; Nijhoff, 1971.</p>
<p>Peirce's Epistemology. The Hague, Netherlands; Nijhoff, 1972.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAVIS, WILLIAM WATSON",,WILLIAM WATSON DAVIS,,1884-1960,,,,,,,":</strong></p>
<p>Historian; University professor.  Born February 12, 1884,  Pensacola, Fla. Parents: Mathew L. and Annie Laurie Lane Davis.  Married: Roxana Henderson, 1915. Children: one. Education:Mobile Military Academy; Alabama Polytechnic Institute, B.S. and M.S.; Columbia University, Ph.D., 1913. Professor of history  at the University of Kansas, 1912-1954.  Died April 5, 1960.</p>
<p>","s:</strong></p>
<p>Encyclopedia of Southern History;  files at Alabama Public Library Service; ancestry.com.</p>
<p>","(s):</strong></p>
<p>Ante-Bellum Southern Commercial Conventions. Montgomery, Ala.; s.n., 1905.</p>
<p>The Civil War and Reconstruction in Florida. New York; Columbia University Press, 1913.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAWKINS, CECIL",,CECIL DAWKINS,,1927-2019,,,,,,,":</strong></p>
<p>Writer. Born:October 2, 1927, Birmingham. Parents:James Toliver and Lucile (Thiemonge) Dawkins. Education:University of Alabama B.A., 1950;  Stanford University, M.A. 1953. English instructor,  Stephens College, 1953-1958; writer-in-residence at Stephens College, 1961-1962, 1973-1976. Distinguished Visiting professor, University of Hawaii, 1991; visiting professor, Georgia College, Milledgeville, 1996-97.  Contributed to the Paris Review, Sewanee Review, McCalls, Redbook, Saturday Review, and to various anthologies. Awarded a Guggenheim Fellowship, 1966; Harper-Saxton Fellow, 1968; National Endowment for the Arts grant, 1976. Received the McGinnis Award in 1963 and the Harper-Saxton Prize in 1971.</p>
<p>",":</strong></p>
<p>Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>The Live Goat. New York; Harper, 1971.</p><p>Charleyhorse. New York; Viking, 1985.</p>
<p>Clay Dancers.  New York, 1995.</p><p>The Quiet Enemy. New York; Atheneum, 1963; rpt. University of Georgia Press, 1995.</p>
<p>Rare Earth.  Random House, 1995.</p>
<p>Turtle Truths.  New York, 1997.</p><p>The Santa Fe Rembrandt.  1993.</p>
				</div>",,"<p><strong>Editor; </strong></p>
<p>A Woman of the Century, Frances Minerva Nunnery:  Her Story in her Own Words as Told to Cecil Dawkins.  University of New Mexico Press, 2002.</p>
<p><strong>Joint_Publication.</strong></p>
<p>The Displaced Person [play based on stories of Flannery O'Connor]. Produced at the American Place</p>
<p>Theater, New York, 1966.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAWSON, JOHN CHARLES",,JOHN CHARLES DAWSON,,1876-1966,,,,,,,":</strong></p>
<p>Professor  of French language and literature; college administrator;  college president. Born:Aug. 10, 1876, Huntsville. Parents:Granville J. and Alice (Roberts) Dawson. Married &#8212; Fletcher Stinson, 1906 (died 1927). Children: one. Married:Avis Marshall, December 25,1930 (died 1938).  Education:Georgetown College, Kentucky, A.B., 1901; Howard College, M.A., 1910; Columbia University, Ph.D., 1921. Principal of Scottsboro Baptist Institute, 1901-03; taught at Howard College, 1903-1917; dean, 1917; acting president, 1917, 1921; president, 1921-31. Head, Department of Romance Languages,  University of Alabama, 1930-1947; Howard Payne College, 1947-1948. Also taught at Western State College, 1923, and the University of Toulouse, 1919. Editor of Howard College Studies in History and Literature, 1921-1930. Contributed to various periodicals, including Romantic Review and Modern Language Notes. Member of the educational board of the Southern Baptist Convention; president of the South Atlantic Modern Language Association. Member of Kappa Phi Kappa, Phi Beta Kappa and the Authors' Club of London. Awarded the honorary D.D. by Howard College, 1918. Received the Officer d'Academie decoration from the French government. Died April 9, 1966.</p>
<p>",":</strong></p>
<p>Marquis who's who online</p>
<p>James F. Sulzby, Jr., Toward a History of Samford University.  Samford University Press, 1986.</p>
<p>","(s):</strong></p>
<p>Picard's 'La Petite Ville"" Ginn and Company, 1912.</p>
<p>Poems. Birmingham, Ala.; s.n., 1919.</p>
<p>Toulouse in the Renaissance. New York; Columbia University Press, 1923.</p><p>A French Regicide in Alabama. University, Ala.; University of Alabama Press, 1939.</p>
<p>Lakanal the Regicide. University, Ala.; University of Alabama Press, 1948.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAWSON, LEMUEL ORAH",,LEMUEL ORAH DAWSON,,1865-1938,,,,,,,":</strong></p>
<p>Baptist clergyman. Born:April 24, 1865, Chambers County. Parents:Andrew Jackson and Marie Antoinette (Bailey) Dawson. Married:Margaret Samuel Lewis, October 30, 1890. Children:Two. Education:Howard College, A.B., 1886;  Southern Baptist Theological Seminary, (graduated 1889); studied at Columbian University (became George Washington University in 1904), the University of Alabama, and the University of Berlin, Germany. Ordained in Baptist ministry, 1888; pastored churches in Kentucky, 1888-1892; pastor of First Baptist Church,  Tuscaloosa, 1892-1924; taught at Howard College, 1924-1938; founded Edgewood Baptist Church, Birmingham, in 1926 and served as its pastor, 1926-1938. Served as president of the Alabama Baptist State Convention, Southern Baptist Young People's Union, and Rotary International. Member of the Alabama Baptist State Executive Committee and Southern Baptist Educational Association. Trustee, Central Female College, Tuscaloosa; Southern Baptist Theological Seminary; Druid City Hospital. Awarded the honorary D.D. by Howard College, 1897.   Edgewood Baptist Church was renamed Dawson Memorial Baptist Church in his honor.  Died January 14, 1938.</p>
<p>",":</strong></p>
<p>Guffin, R.L.  A Legacy of Love: The First Baptist Church of Tuscaloosa.  Available on First Baptist Church website.</p>
<p>Marquis Who's Who online.</p>
<p>","(s):</strong></p>
<p>Light Spots. Tuscaloosa, Ala.; Weatherford, 1933.</p><p>After Fifty Years. Nashville; Broadman, 1965.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAY, JAMES SANDERS",,JAMES SANDERS DAY,,1956-present,,,,,,,";</strong><br />
Historian; university professor; administrator. United States Military Academy, B.S., 1979.  Active duty in U.S.Army, 1979-95. Taught history at the U.S. Military Academy,  (1989-92); Marion Military Institute (1995-96);  Judson College (1996-99); and Auburn University at Montgomery (1999-2000);  at the University of Montevallo, 1997-  ; served in various administrative posts,  including assistant vice president for academic affairs, at  Montevallo. Delivered many lectures and presentations; author of numerous articles in professional journals",";</strong><br />
University of Alabama Press catalog; University of Montevallo website.<br />
",#Null,"s;</strong><br />
Diamonds in the Rough: A History of Alabama's Cahaba Coal Field. University of Alabama Press, 2013.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DE COTTES, NINA BROWNE",,NINA BROWNE DE COTTES,,1858-1936,,,,,,,":</strong></p>
<p>Editor, writer. Born:February 23, 1858, Montevallo. Parents:William Phineas and Margaret Elizabeth Warwick (Stevens) Browne. Married:John MacMurphy de Cottes, February 8, 1877. Education:Attended Ursuline Convent in Tuscaloosa; graduated from Saybrook Hall, Montreal, Canada. First woman to work for the Montgomery Advertiser; women's editor of Advertiser, 1890-1908. Founded the magazine Social World in 1890 and published it for many years.  Died July 10, 1936.</p>
<p>",":</strong></p>
<p>Owen's The Story of Alabama, Vol. 3.</p>
<p>","(s):</strong></p>
<p>A Social Directory of Montgomery, Alabama, 1900-1901. S.l.; s.n., 1900.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De LEON, THOMAS COOPER",,THOMAS COOPER De LEON,Dunne Browne,1839-1914,,,,,,,":</strong></p>
<p>Editor, writer. Born:May 21, 1839, Columbia, S.C. Parents:Mardici Heninrich and Rebecca (Lopez y Nunez) De Leon, Education:Attended Rugby Academy and Georgetown College, Washington, D.C. Employed as a clerk for the Topographical Engineering Bureau, 1858-1861; served in the Confederate Army, 1861-1865; edited Cosmopolite Magazine, 1865-1866; wrote for various New York newspapers and magazines, and translated French novels, 1866-1867; managing editor of Mobile Register, 1868-1876; editor, 1877-, while continuing to write for national publications;  edited the Mobile papers The Gossip and The Gulf Citizen, 1873-1896. Managed the Mobile Theater, 1873-1885. Organized and managed the Mobile Mardi Gras Carnival for 25 years; created carnivals for several other cities.  Published political writings under the name Dunne Browne. Lost his eyesight in 1903; sometimes called ""The Blind Laureate of the Lost Cause"" Died March 19, 1914.</p>
<p>",":</strong></p>
<p>Chaudron, Louis de V.  Biographical Sketch of the Author, in De Leon, Four Years in Rebel Capitals.  Mobile, Al.:  Gossip Printing Company, 1982.</p>
<p>Marquis Who's Who online, and the Dictionary of American Biography, Vol. 5.</p>
<p>","(s):</strong></p>
<p>Cross Purposes. Philadelphia; Lippincott, 1871.</p><p>Coqsurcus; a Lay of a Very Late Encampment. Chicago; The Hanscom Printing Co., 1887.</p><p>The Rock or the Rye. Mobile, Ala.; Gossip Printing, 1888.</p><p>Creole and Puritan. Philadelphia; J. B. Lippincott, 1889.</p><p>Juny; or, Only One Octoroon's Story. Mobile, Ala.; Gossip Printing Co., 1889.</p><p>Four Years in Rebel Capitals. Mobile, Ala.; Gossip Printing, 1890.</p><p>Society as I Have Foundered It. Mobile, Ala.; Gossip Printing, 1890.</p><p>Our Creole Carnivals. Mobile, Ala.; Gossip Press, 1890.</p><p>East, West and South. Mobile, Ala.; The Gossip Printing Co., 1891.</p><p>Sybilla; a Romaunt of the Town. Mobile, Ala.; The Gossip Press, 1891.</p><p>The Puritan's Daughter. Mobile, Ala.; Gossip Printing, 1891.</p><p>F. John Holden, Unionist. St. Paul, Minn.; Price-McGill, 1893.</p><p>Schooners That Bump on the Bar. Mobile, Ala.; Gossip Printing, 1894.</p><p>The Rending of the Solid South. Mobile, Ala.; Gossip Printing Co., 1895.</p>
<p>Crag-Nest. Mobile, Ala.; Gossip Printing, 1897.</p><p>A Novelette Trilogy. London; F. T. Neely, 1897.</p> <p>An Innocent Cheat; or, Episodes of the Everlasting Comedy. New York; F. T. Neely, 1898.</p><p>The Pride of the Mercers. Philadelphia; Lippincott, 1898.</p>
<p>Creole Carnivals. Atlanta; Author, 1899.</p><p>Joseph Wheeler; the Man, The Statesman, The Soldier. Atlanta; Byrd Printing, 1899.</p><p>Belles, Beaux and Brains of the 60s. New York; G.W. Dillingham, 1907.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>South Songs. New York; Bleilock & Co., 1860.</p>
<p><strong>Papers;</strong></p>
<p>A collection of the papers of Thomas Cooper De Leon is held by the Caroliniana Library at the University of South Carolina in Columbia.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
