AL_AuthorInfo_All(www.lib.ua.eduAlabama_Authors),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author_Last_Name_First_Name,Author_Portrait_Link,Author_First_Name_Last_Name,Author_Pseudonym_Name,Author_Dates,City,County,"Place(s) of Education (City, County)",Birth Place,Adult Residence(s) (City),"Place of Death (City, County)",Author_Biography,Source,Book_Publications,Book_Publications_post_2000,Other_Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNARD, HARRY VOLLIE",,Harry Vollie Barnard,,1929-2020,"Cottonville, Florance, and Tuscaloosa","Marshall, Lauderdale, and Tuscaloosa","Florance, Lauderdale; Tuscaloosa, Tuscaloosa",,Tuscaloosa,,":</strong></p>
<p>Teacher; teacher educator. Born:June 15, 1929, Cottonville. Parents:Percy T. and Marjorie (Edmonds) Barnard. Married:Wanda Hyde, December 7, 1950. Children:Two. Education:University of North Alabama, B.S., 1950; University of Alabama, M.A., 1954, Ed.D., 1959; additional study at Harvard University, 1955; Ain Shams University in Cairo, Egypt, 1976. Served in the U.S. Army, 1950-1952; taught in the public schools of Orlando, Fla., 1953-1956; teaching fellow at the University of Alabama, 1957-1959; research assistant and clerk of the Subcommittee on Special Education, U.S. House of Representatives, 86th Congress, 1959-1960; taught at Rutgers University, 1960-1966; taught at the University of Kentucky after 1966. After 1977, Associate Dean for Teacher Education and director of the overseas student teaching program.</p>
<p>",":</strong></p>
<p>Book jacket for Tattered Volunteers; files at Alabama Public Library Service; and Harry V. Barnard, Lexington, Ky.</p>
<p>","(s):</strong></p>
<p>Tattered Volunteers; the Twenty-seventh Alabama Infantry Regiment C.S.A. Northport, Ala.; Hermitage Press, 1965.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Orange Study of Curriculum and School Buildings. New Brunswick, N.J.; Rutgers University Division of Field Studies and Research, 1966.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Urbanization: Some Educational Implications; Twenty-ninth Yearbook of the New Jersey Secondary School Teachers Association. Plainfield, N.J.; The Association, 1974.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNARD, WILLIAM DEAN",,William Dean Barnard,,1942-present,"Birmingham, Mobile, and Tuscaloosa","Jefferson, Mobile, and Tuscaloosa","Birmingham, Jefferson",,Mobile and Tuscaloosa,,":</strong></p>
<p>Educational administrator; University professor. Born:September 18, 1942, Birmingham. Married: Hollinger F. Barnard, 1964. Children:Three. Education:Birmingham Southern College, B.A., 1964; University of Virginia, Ph.D., 1971. Taught at the University of South Alabama, 1968-1972; employed by the Alabama Commission on Higher Education as research associate, 1972-1973, associate director of academic affairs, 1973-1977; assistant to the chancellor of the University of Alabama System after 1977.</p>
<p>",":</strong></p>
<p>Directory of American Scholars, History 7th ed., 1978.</p>
<p>","(s):</strong></p>
<p>Dixicrats and Democrats; Alabama Politics. University, Ala.; University of Alabama Press, 1974.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNES, JOE",,Joe Barnes,,1920-1993,"Gadsen, Auburn, Jacksonville, and Tuscaloosa","Etowah, Lee, Calhoun, and Tuscaloosa","Auburn, Lee; Jacksonville, Calhoun; Tuscaloosa, Tuscaloosa",,Gadsen,,":</strong></p>
<p>Teacher, author,  museum curator. Born:April 17, 1920, Gadsden. Parents:Louis J. and Myrtle (Woodson) Barnes. Married:Mabel Thornton, July 20, 1947. Children:Two. Education:Attended Auburn University, 1946; Jacksonville State Teachers College, B.S., 1949; University of Alabama, master's degree, 1977.  Served in the U.S.Army Air Corps, WWII; served in the U.S. Army Reserve, 1956-1980; named Soldier of the Year in the State of Alabama, 1974. High school coach, 1949-1952; chief of a review and analysis group at Redstone Arsenal, 1952-1973; curator of museums at Noccalula Falls in Gadsden after 1973. Member of the Alabama High School Football Officials Association, the American Legion, Etowah Historical Society, and Ta-Co-Bet Historical Association. Died February 9, 1993.</p>
<p>",":</strong></p>
<p>Files at Alabama Department of Archives and History; Man on a Mountain; and Joe Barnes, Gadsden, Ala.</p>
<p>","(s):</strong></p>
<p>History of Hokes Bluff and Eastern Etowah County, Alabama. Hokes Bluff, Ala.; Eagle Printing and Key Shop, 1966.</p>
<p>Man on a Mountain. Birmingham, Ala.; Southern University Press, 1969.</p>
<p>John Wisdom Citizen-Soldier. Gadsden, Ala.; Birch Anderson, 1979.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>A History of Etowah County. Birmingham, Ala.; Roberts and Sons, 1969.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNETT, ALBERT EDWARD, JR.",,Albert Edward Barnett Jr.,,1895-1961,"Opelika, Greensboro, Mobile, and Moundville","Lee, Hale, and Mobile","Greensboro, Hale",,"Gadsen, Mobile, and Auburn",,":</strong></p>
<p>Methodist clergyman; teacher; college professor. Born:August 29, 1895, Opelika. Parents:Albert Edward and Mary Hannah (Banks) Barnett. Married:Lucie Rebecca Browder, December 29, 1929. Education:Southern University in Greensboro, Ala., 1916; Emory University, Candler School of Theology, B.D., 1921; University of Chicago, M.A., 1928, Ph.D., 19??. Licensed to preach in the Methodist Episcopal Church, South, 1917; taught for one year at the State Normal School at Moundville, Ala.; Technological High School at Atlanta. During World War I served as Y.M.C.A. director. Served as pastor in the Norcross Circuit, Ga., 1922-1923; pastor at Mobile; student pastor at Auburn, 1924; taught at Scarritt College, 1924-1943; University of Chicago, 1944; Garrett Biblical Institute in Evansville, Ind., 1944-1950; Emory University, Candler school of Theology, 1950-1961. Died December 13, 1961.</p>
<p>",":</strong></p>
<p>Files at Alabama Department of Archives and History; Files at Pitts Theological Library, Emory University.</p>
<p>","(s):</strong></p>
<p>Understanding the Parables of Our Lord. Nashville; Cokesbury Press, 1940.</p><p>Paul Becomes a Literary Influence. Chicago; University of Chicago Press, 1941.</p><p>The New Testament, its Making and Meaning. Nashville; Abingdon-Cokesbury, 1946.</p><p>Letters of Paul. Nashville; Abingdon-Cokesbury, 1947.</p><p>Andrew Sledd :His Life and Work. Atlanta; Emory University, Candler School of Theology, 1956.</p><p>Disciples to Such a Lord; the Gospel According to St. Mark. New York; Woman's Division of Christian Service, Board of Missions, The Methodist Church, 1957.</p>
<p>The Church; Its Origin and Task; a Study of Biblical Sources. Nashville; National Methodist Student Movement, 1960.</p>
<p>The Modern Reader's Guide to Acts. New York; Association Press, 1962.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNETT, CORA CHASTANG",,Cora Chastang Barnett,,1896-1992,Citronelle and Mobile,Mobile,"Citronelle, Mobile",,Citronelle,"Citronelle, Mobile",":</strong></p>
<p>Clerical worker;  businesswoman.  Born:September 27, 1896, Citronelle. Parents:Cyrus and Emma Estella (Hester) Chastang. Married:Stewart R. Barnett, August 31, 1924. Children:Three. Education:public schools of Citronelle; Huffstetler Business College. Secretary for Mobile Tractor Company; clerk for Southern Pacific Railroad in New Orleans; chief clerk for Central of Georgia Railroad in New Orleans; owned an antique and novelty shop in New Orleans, 1950-1966.  Served two years as president of Citronelle Woman's Club; helped re-establish the Boy Scouts of America's Camp Pushmataha in Citronelle.  Nominated Woman of the Year in Citronelle, 1982. Died June 12, 1992.</p>
<p>",":</strong></p>
<p>Cora Chastang Barnett, Citronelle, Ala.</p>
<p>","(s):</strong></p>
<p>""Creole Cookin"" Cookbooks. New Orleans, La.; Author, 1948.</p>
<p>New Orleans' Fabulous Iron Laceworks. New Orleans, La.; Author, 1950.</p><p>Citronelle, ""Now and Then"", 1811-1971. Citronelle, Ala.; Author, 1971.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNEY, HOWARD",,Howard Barney,,1912-2003,Mobile,Mobile ,,,Mobile   ,"Mobile, Mobile",":</strong></p>
<p>Journalist, public relations executive. Born:September 14, 1912, Mobile. Parents:Oscar N. and Marian (Hunter) Barney. Married:Mary Bacon, October 31, 1936. Children:Four. Education:University of Missouri, Bachelor of Journalism, 1934. Served in the U.S. Navy, WWII. Worked for the Kansas City Journal Post, 1934-1935; Mobile Press Register, 1935-1943; Merchants National Bank of Mobile, 1943-1947. Founded Barney and Patrick Advertising Agency in 1947 and worked there until 1972. Served as chairman of the Mobile Library Board, Mobile Infirmary Board, and Gulf Health Foundation. Awarded the Silver Medal of the Advertising Federation, 1956.  Died October 23, 2003.</p>
<p>",":</strong></p>
<p>Howard Barney, Mobile, Ala.; Obituary, Mobile Press-Register, October 25, 2003.</p>
<p>","(s):</strong></p>
<p>Mister Bell. Mobile, Ala.; The Bellingrath-Morse Foundation, 1979.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Mobile; the Life and Times of a Great Southern City. S.l.; Windsor Publications, 1981.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARNWELL, WILLIAM CURTIS",,William Curtis Barnwell,,1943-present,Florance,Lauderdale,"Florance, Lauderdale",,,,":</strong></p>
<p>Writer; University professor. Born:February 11, 1943, Macon, Ga. Parents:Mr. and Mrs. J. R. Barnwell. Married:Jo Ann Weeks.  Children: two. Education:Coffee High School in Florence; Florence State College  (now University of North Alabama), bachelor's degree; University of Florida, Ph.D., 1972. Taught at the University of South Carolina, 1971-1977; Columbia College, writer-in-residence after 1977. Member of the Modern Language Association, Authors Guild, American Committee for Irish Studies, International Thriller Writers,  and South Atlantic Modern Language Association.</p>
<p>",":</strong></p>
<p>Files at Birmingham Public Library and at Alabama Public Library Service; Contemporary Authors online.</p>
<p>","(s):</strong></p>
<p>The Blessing Papers. London; Colin Smythe, 1981.</p>
<p>Imram.  New York: Pocket Books, 1981.</p>
<p>The Sigma Curve.  New York: Pocket Books, 1981.</p>

				</div>","<p>The Book of the Romes.  iUniverse, 2001.</p><p>The Scheme-of-the-Month Club. Simon and Schuster, 2001.</p>
<p>Death of the Camel's Child. Monje Press, 2011.</p>
<p>The Dungeon below Bling-bling High.  Simon and Schuster, 2011.</p>
<p>I, Lord Several. Monje Press, 2012.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARR, JOHN GORMAN",https://auburn.app.box.com/file/905742583862,John Gorman Barr,,1823-1858,Tuscaloosa,Tuscaloosa,"Tuscaloosa, Tuscaloosa",,Tuscaloosa,,";</strong></p>
<p>Lawyer; author.  Born:November 22, 1823, Milton (Caswell County), North Carolina (moved to Alabama in 1835).  Parents:Thomas and Mary Jane Gorman Barr. Education:University of Alabama, B.A., 1841, M.A., 1842. Read law with Attorney Harvey Ellis in Tuscaloosa; admitted to the bar in 1843. Worked as a tutor in math at the University of Alabama; set up a law practice in 1845.  Organized and led a local unit in the Mexican War; rose to the rank of lieutenant colonel but did not see combat.  Practiced law in Tuscaloosa; managing editor of the Tuscaloosa <em>Observer,</em> a local newspaper. Published humorous stories based on daily life in Alabama in the New York weekly newspaper <em>Spirit of the Times, </em>1855-57.  Campaigned for a Congressional seat in 1857-58, but withdrew from the race to prevent a party split.  Appointed consul to Australia by President James Buchanan, but died on the voyage, May 18, 1858.</p>
<p>","s;</strong></p>
<p>Beidler, Philip D.  <em>The Art of Fiction in the Heart of Dixie:  An Anthology of Alabama Writers.  </em>University of Alabama Press, 1980.</p>
<p>Hubbs, G. Ward, ""Introduction,"" to  <em>Rowdy Tales from Early Alabama: The Humor of John Gorman Barr. </em>University of Alabama Press, 1981.</p>
<p>","s;</strong></p>
<p><em>Rowdy Tales from Early Alabama: The Humor of John Gorman Barr. </em>University of Alabama Press, 1981.</p>

				</div>",,"<p><strong>Papers;</strong></p>
<p>A collection of the papers of John Gorman Barr is held by the W.S.Hoole Special Collections Library at the University of Alabama.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARRA, ALLEN",,Allen Barra,,unknown-present,Birmingham,Jefferson,"Birmingham, Jefferson",,,,";</strong></p>
<p>Sportswriter.  Born;  Birmingham.  Married:Jonelle.  Children: one.  Education:attended the University of Alabama at Birmingham.  A contributing editor of American Heritage magazine; writes frequently for the Atlantic and the Wall Street Journal.</p>
<p>","s;</strong></p>
<p>Contemporary Authors online</p>
<p>","<p><strong>Joint_Publications;</strong></p>
<p>That's Not the Way It Was:  (Almost) Everything They've Told You about Sports Is Wrong.  Hyperion, 1995.</p>

				</div>","<p>Clearing the Bases:  The Greatest Baseball Debates of the Last Century.  New York:  T. Dunne Books, 2002.</p><p>Big Play:  Barra on Football.  Washington: Brassey's, 2005.</p><p>The Last Coach: A Life of Paul ""Bear"" Bryant.  New York:  W.W.Norton, 2005.</p>
<p>Brushbacks and Knockdowns:  The Greatest Football Debates of Two Centuries.  New York:  T. Dunne Books, 2009.</p>
<p>Inventing Wyatt Earp:  His Life and Many Legends. Bison Books, 2009.</p><p>Yogi Berra:  Eternal Yankee.  New York:  W.W.Norton, 2009.</p><p>Rickwood Field:  A Century in America's Oldest Ballpark.  New York: W.W.Norton, 2010.</p><p>Mick and Willie:  Mantle and Mays, the Parallel Lives of Baseball's Golden Age.  New York:  Crown Archetype, 2013.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARRAX, GERALD WILLIAM",https://auburn.app.box.com/file/905742712494,Gerald William Barrax,,1933-2019,Attalla,Etowah,,,,,":</strong></p>
<p>Poet; teacher of creative writing. Born:June 21, 1933, Attalla; moved to Pittsburgh,Pa as a child.  Parents: Aaron and Dorthera (Hedrick) Barrax. Married: Geneva Catherine Lucy, 1954.  Children: three.  Married Joan Dellimore. Children: two.  Education:Duquesne University, B.A., 1963; University of Pittsburgh, M.A., 1969; attended the University of North Carolina. U.S. Air Force, 1953-57.  U.S. Post Office, Pittsburgh, Pa., clerk and carrier, 1958-68; North Carolina Central University, instructor, 1969-70;  North Carolina State University, teacher of creative writing, Department of English, 1970-1997. Editor of Obsidian, a journal of African-American poetry and criticism, 1985-1996.  Published in many journals and anthologies.  Awarded the Gold Medal Award, Catholic Poetry Society; Broadside Press Award for Poetry, 1973; Callaloo Creative Writing Award for Nonfiction Prose, 1983; the Sam Regan Award for the Contributions to the Fine Arts in North Carolina, 1991; Raleigh Medal for Extraordinary Achievement in the Arts, 1993; nominated for the National Book Award and the Pulitzer Prize. Elected to the North Carolina Literary Hall of Fame, 2006.  Awarded status of professor emeritus on his retirement at NC State, 1997.</p>
<p>",":</strong></p>
<p>Black American Writers Past and Present; Contemporary Authors online; encyclopedia.com</p>
<p>","(s):</strong></p>
<p>Another Kind of Rain. Pittsburgh; University of Pittsburgh Press, 1970.</p>
<p>An Audience of One. Athens, Ga.; University of Georgia Press, 1980.</p>
<p>Death of Animals and Lesser Gods.  University of Kentucky Press, 1984.</p><p>Leaning on the Sun; Poems. Fayetteville, Ark.; University of Arkansas Press, 1992.</p>
<p>From a Person Sitting in Darkness:  New and Selected Poems.  Louisiana State University Press, 1998.</p>

				</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BARRETT, EDWARD WARE",,Edward Ware Barrett,,1910-1989,Birmingham,Jefferson,,,Birmingham,,":</strong></p>
<p>Reporter, correspondent; journalism educator. Born:July 3, 1910, Birmingham. Parents:Edward Ware and Lewis Robertson (Butt) Barrett. Married:Mason Daniel, November 25, 1939. Children:Two. Education:Princeton University, A.B., 1932; attended University of Dijon in France; Bard College, LL.D., 1950. Began his career in 1933 as a reporter for the Birmingham Age-Herald, which his father had owned. Went to work for Newsweek in 1933, its first year of publication; worked for the magazine a total of seventeen years. Helped set up the overseas division of the U.S. Office of War Information; directed propaganda broadcasts to Europe, 1942-1946; editorial director for Newsweek, 1946-1950; Assistant Secretary of State for Public Affairs, 1950-1952; executive vice-president of Hill and Knowlton, a public relations firm, 1953-1956; dean of Columbia University's Graduate School of Journalism, 1956-1968; director of the Communications Institute of the Academy for Educational Development, 1969-1977; founder and publisher of Columbia Journalism Review, beginning in 1975. Member of the Foreign Policy Asociation and the Council on Foreign Relations. LL. D.,  Bard College, 1950. Died October 23, 1989.</p>
<p>",":</strong></p>
<p>Who's Who in America, 1978-1979.</p>
<p>","(s):</strong></p>
<p>Truth is Our Weapon. New York; Funk & Wagnall, 1953.</p>
<p><strong>Joint_Publication(s):</strong></p>
<p>Educational TV; Who Should Pay? Washington, D.C.; American Institute for Public Policy Research, 1968.</p>

				</div>",,"<p><strong>Editor:</strong></p>
<p>Journalists in Action. Manhasset, N.Y.; Channel Press, 1963.</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
